movie_title,budget,gross,gross_budget_link
#Horror,1500000,,http://www.imdb.com/title/tt3526286/business?ref_=tt_dt_bus
[Rec],1500000,,http://www.imdb.com/title/tt1038988/business?ref_=tt_dt_bus
"10,000 B.C.",,,http://www.imdb.com/title/tt1869849/business?ref_=tt_dt_bus
11:14,6000000,,http://www.imdb.com/title/tt0331811/business?ref_=tt_dt_bus
12 Angry Men,350000,,http://www.imdb.com/title/tt0050083/business?ref_=tt_dt_bus
12 Monkeys,,,http://www.imdb.com/title/tt3148266/business?ref_=tt_dt_bus
16 to Life,1000000,,http://www.imdb.com/title/tt1130087/business?ref_=tt_dt_bus
1776,4000000,,http://www.imdb.com/title/tt0068156/business?ref_=tt_dt_bus
1941,35000000,,http://www.imdb.com/title/tt0078723/business?ref_=tt_dt_bus
1982,1000000,,http://www.imdb.com/title/tt2388621/business?ref_=tt_dt_bus
2:13,3500000,,http://www.imdb.com/title/tt1002561/business?ref_=tt_dt_bus
"20,000 Leagues Under the Sea",5000000,,http://www.imdb.com/title/tt0046672/business?ref_=tt_dt_bus
24 7: Twenty Four Seven,,,http://www.imdb.com/title/tt0120391/business?ref_=tt_dt_bus
3 Backyards,300000,,http://www.imdb.com/title/tt1314190/business?ref_=tt_dt_bus
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,3000000,,http://www.imdb.com/title/tt2417650/business?ref_=tt_dt_bus
3rd Rock from the Sun,,,http://www.imdb.com/title/tt0115082/business?ref_=tt_dt_bus
55 Days at Peking,9000000,,http://www.imdb.com/title/tt0056800/business?ref_=tt_dt_bus
8 Days,2500000,,http://www.imdb.com/title/tt3111864/business?ref_=tt_dt_bus
A Beginner's Guide to Snuff,,,http://www.imdb.com/title/tt4058122/business?ref_=tt_dt_bus
A Charlie Brown Christmas,150000,,http://www.imdb.com/title/tt0059026/business?ref_=tt_dt_bus
A Christmas Story,4000000,,http://www.imdb.com/title/tt0085334/business?ref_=tt_dt_bus
A Dog's Breakfast,120000,,http://www.imdb.com/title/tt0796314/business?ref_=tt_dt_bus
A Farewell to Arms,800000,,http://www.imdb.com/title/tt0022879/business?ref_=tt_dt_bus
A Fine Step,1000000,,http://www.imdb.com/title/tt1604100/business?ref_=tt_dt_bus
